# freq_THz  G_total_s  G_Al_s  G_N_s  G_Ga_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
4.7851562500e+01 1.7977647206e-04 5.8296442362e-05 1.2055175402e-04 9.2827567599e-07
4.8095703125e+01 2.1797411324e-04 7.4214206395e-05 1.4294967904e-04 8.1022780049e-07
4.8339843750e+01 2.6121077066e-04 9.1748250694e-05 1.6872815597e-04 7.3436399674e-07
4.8583984375e+01 3.0262589137e-04 1.0813817895e-04 1.9379047019e-04 6.9724222850e-07
4.8828125000e+01 3.3787312409e-04 1.2173994679e-04 2.1544226913e-04 6.9090816355e-07
4.9072265625e+01 3.6576863539e-04 1.3222417014e-04 2.3284087252e-04 7.0359272705e-07
4.9316406250e+01 3.8547622621e-04 1.3938029481e-04 2.4537435144e-04 7.2157996050e-07
4.9560546875e+01 3.9487941555e-04 1.4243446393e-04 2.5171161409e-04 7.3333753321e-07
4.9804687500e+01 3.9210233427e-04 1.4067769378e-04 2.5069312594e-04 7.3151455627e-07
5.0048828125e+01 3.7800564535e-04 1.3448073657e-04 2.4281344876e-04 7.1146001905e-07
5.0292968750e+01 3.5671578534e-04 1.2548075484e-04 2.3056449448e-04 6.7053602355e-07
5.0537109375e+01 3.3349736057e-04 1.1571421954e-04 2.1717331266e-04 6.0982836930e-07
5.0781250000e+01 3.1236572613e-04 1.0667923087e-04 2.0515097479e-04 5.3552046882e-07
5.1025390625e+01 2.9594023019e-04 9.9258702983e-05 1.9622371439e-04 4.5781281500e-07
5.1269531250e+01 2.8710988741e-04 9.4283885528e-05 1.9243901253e-04 3.8698935585e-07
5.1513671875e+01 2.9026263300e-04 9.2931141109e-05 1.9700232974e-04 3.2916214433e-07
5.1757812500e+01 3.1000140761e-04 9.6359877927e-05 2.1335612451e-04 2.8540516722e-07
5.2001953125e+01 3.4613242321e-04 1.0435014709e-04 2.4152773408e-04 2.5454203918e-07
5.2246093750e+01 3.8725529588e-04 1.1365652121e-04 2.7336209240e-04 2.3668226682e-07
5.2490234375e+01 4.1123047994e-04 1.1829407030e-04 2.9270158404e-04 2.3482560411e-07
5.2734375000e+01 3.9833916265e-04 1.1316052502e-04 2.8492482706e-04 2.5381056659e-07
5.2978515625e+01 3.4739428088e-04 9.8225158377e-05 2.4887187715e-04 2.9724535898e-07
5.3222656250e+01 2.7690607593e-04 7.8569356217e-05 1.9797331620e-04 3.6340351195e-07
5.3466796875e+01 2.0941950418e-04 6.0066263755e-05 1.4891323645e-04 4.4000397484e-07
5.3710937500e+01 1.5637106464e-04 4.5478744874e-05 1.1039232584e-04 4.9999392840e-07
5.3955078125e+01 1.1671664542e-04 3.4322657399e-05 8.1884110552e-05 5.0987747196e-07
5.4199218750e+01 8.5254396021e-05 2.5187609273e-05 5.9611372178e-05 4.5541457077e-07
5.4443359375e+01 5.9448631476e-05 1.7521024471e-05 4.1569561344e-05 3.5804566100e-07
5.4687500000e+01 3.9677407973e-05 1.1587345936e-05 2.7833170909e-05 2.5689112813e-07
5.4931640625e+01 2.6263323176e-05 7.5633998465e-06 1.8521510766e-05 1.7841256416e-07
5.5175781250e+01 1.8126757673e-05 5.1453877006e-06 1.2853775472e-05 1.2759449996e-07
5.5419921875e+01 1.3529819535e-05 3.7994932398e-06 9.6323149718e-06 9.8011323220e-08
5.5664062500e+01 1.0978062575e-05 3.0628657860e-06 7.8335567222e-06 8.1640067226e-08
5.5908203125e+01 9.4934532471e-06 2.6377921241e-06 6.7832174012e-06 7.2443721784e-08
5.6152343750e+01 8.5319541556e-06 2.3636191570e-06 6.1015956235e-06 6.6739375099e-08
5.6396484375e+01 7.8247380268e-06 2.1635004096e-06 5.5986172761e-06 6.2620341029e-08
5.6640625000e+01 7.2496443025e-06 2.0032113514e-06 5.1871933857e-06 5.9239565429e-08
5.6884765625e+01 6.7529800239e-06 1.8671504948e-06 4.8295318065e-06 5.6297722557e-08
5.7128906250e+01 6.3081004228e-06 1.7464973457e-06 4.5078879720e-06 5.3715105035e-08
5.7373046875e+01 5.9004190397e-06 1.6362058732e-06 4.2128134133e-06 5.1399753159e-08
5.7617187500e+01 5.5271639319e-06 1.5359202581e-06 3.9420586515e-06 4.9185022277e-08
5.7861328125e+01 5.1944947829e-06 1.4480778802e-06 3.6994699025e-06 4.6947000151e-08
5.8105468750e+01 4.9077483198e-06 1.3736572935e-06 3.4893853242e-06 4.4705702065e-08
5.8349609375e+01 4.6650516997e-06 1.3109706123e-06 3.3115329293e-06 4.2548158115e-08
5.8593750000e+01 4.4591391059e-06 1.2574928912e-06 3.1611399398e-06 4.0506274856e-08
5.8837890625e+01 4.2821962773e-06 1.2111460581e-06 3.0324586317e-06 3.8591587499e-08
5.9082031250e+01 4.1288577171e-06 1.1704758129e-06 2.9215118894e-06 3.6870014799e-08
5.9326171875e+01 3.9958145375e-06 1.1345403825e-06 2.8258944905e-06 3.5379664534e-08
5.9570312500e+01 3.8795479554e-06 1.1025553440e-06 2.7429604992e-06 3.4032112188e-08
5.9814453125e+01 3.7763221269e-06 1.0738543358e-06 2.6697671245e-06 3.2700666697e-08
6.0058593750e+01 3.6837701322e-06 1.0480554197e-06 2.6043470693e-06 3.1367643232e-08
6.0302734375e+01 3.5994584445e-06 1.0244634616e-06 2.5448811273e-06 3.0113855531e-08
6.0546875000e+01 3.5187093103e-06 1.0016437144e-06 2.4880722723e-06 2.8993323584e-08
6.0791015625e+01 3.4364733462e-06 9.7829471672e-07 2.4301996666e-06 2.7978962854e-08
6.1035156250e+01 3.3504273419e-06 9.5409377336e-07 2.3693210855e-06 2.7012482990e-08
6.1279296875e+01 3.2613953364e-06 9.2946554479e-07 2.3058780698e-06 2.6051721860e-08
6.1523437500e+01 3.1717797164e-06 9.0489802087e-07 2.2418013738e-06 2.5080321704e-08
6.1767578125e+01 3.0843620545e-06 8.8075500787e-07 2.1794946765e-06 2.4112370151e-08
6.2011718750e+01 3.0029915471e-06 8.5789517688e-07 2.1219090940e-06 2.3187276210e-08
6.2255859375e+01 2.9324784303e-06 8.3775134836e-07 2.0723908043e-06 2.2336277734e-08
6.2500000000e+01 2.8756865421e-06 8.2121925046e-07 2.0329089737e-06 2.1558317854e-08
6.2744140625e+01 2.8315452184e-06 8.0796892590e-07 2.0027358321e-06 2.0840460383e-08
6.2988281250e+01 2.7960671629e-06 7.9682675539e-07 1.9790805134e-06 2.0159894140e-08
6.3232421875e+01 2.7636666367e-06 7.8623295016e-07 1.9579788617e-06 1.9454824794e-08
6.3476562500e+01 2.7270820080e-06 7.7426417506e-07 1.9341480197e-06 1.8669813253e-08
6.3720703125e+01 2.6782101596e-06 7.5877913848e-07 1.9015975821e-06 1.7833438992e-08
6.3964843750e+01 2.6113927641e-06 7.3813847071e-07 1.8562350146e-06 1.7019278809e-08
6.4208984375e+01 2.5254023266e-06 7.1168995814e-07 1.7974592363e-06 1.6253132110e-08
6.4453125000e+01 2.4214712752e-06 6.7941754720e-07 1.7265416963e-06 1.5512031613e-08
6.4697265625e+01 2.3007604773e-06 6.4150974350e-07 1.6444755236e-06 1.4775210198e-08
6.4941406250e+01 2.1650213872e-06 5.9864814536e-07 1.5523382751e-06 1.4034966673e-08
6.5185546875e+01 2.0188913515e-06 5.5257758654e-07 1.4530272164e-06 1.3286548570e-08
6.5429687500e+01 1.8699304052e-06 5.0592578205e-07 1.3514715680e-06 1.2533055159e-08
