# freq_THz  G_total  G_Al  G_N  G_Ga
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
4.0527343750e+01 6.8887866045e-04 1.7639893102e-04 5.0987312996e-04 2.6065994763e-06
4.0771484375e+01 6.9429463205e-04 1.7750943375e-04 5.1469352893e-04 2.0916693765e-06
4.1015625000e+01 7.1838052674e-04 1.8229385685e-04 5.3440947591e-04 1.6771939790e-06
4.1259765625e+01 7.5149197771e-04 1.8939281188e-04 5.6079742409e-04 1.3017417412e-06
4.1503906250e+01 7.4231664268e-04 1.8609465792e-04 5.5524360975e-04 9.7837500960e-07
4.1748046875e+01 6.5404780551e-04 1.6315463849e-04 4.9017639701e-04 7.1677000777e-07
4.1992187500e+01 5.0802170764e-04 1.2665620176e-04 3.8082360110e-04 5.4190477375e-07
4.2236328125e+01 3.4283989455e-04 8.5727366833e-05 2.5667891587e-04 4.3361184888e-07
4.2480468750e+01 1.9923864322e-04 4.9773301250e-05 1.4910825369e-04 3.5708827882e-07
4.2724609375e+01 1.1152001536e-04 2.8045517625e-05 8.3164003906e-05 3.1049383276e-07
4.2968750000e+01 6.8160941052e-05 1.7317831327e-05 5.0565831588e-05 2.7727813780e-07
4.3212890625e+01 4.6766391812e-05 1.1930009611e-05 3.4583003830e-05 2.5337837093e-07
4.3457031250e+01 3.7279240829e-05 9.5090166726e-06 2.7531387829e-05 2.3883632785e-07
4.3701171875e+01 3.3366559775e-05 8.4153410404e-06 2.4723458294e-05 2.2776044055e-07
4.3945312500e+01 3.2485083575e-05 7.8465748289e-06 2.4412042539e-05 2.2646620747e-07
4.4189453125e+01 3.3882951273e-05 7.6605657643e-06 2.5977749853e-05 2.4463565572e-07
4.4433593750e+01 3.6476893707e-05 7.7736246084e-06 2.8424844464e-05 2.7842463486e-07
4.4677734375e+01 4.0858744683e-05 8.3629451064e-06 3.2154044932e-05 3.4175464462e-07
4.4921875000e+01 4.6875294053e-05 9.3233216043e-06 3.7103672749e-05 4.4829969986e-07
4.5166015625e+01 5.4980812988e-05 1.0796573304e-05 4.3567923889e-05 6.1631579482e-07
4.5410156250e+01 6.4784899837e-05 1.2807640008e-05 5.1132996669e-05 8.4426315968e-07
4.5654296875e+01 7.5457355845e-05 1.5256443698e-05 5.9094136812e-05 1.1067753343e-06
4.5898437500e+01 8.5523800005e-05 1.7788768209e-05 6.6338677404e-05 1.3963543928e-06
4.6142578125e+01 9.3938083806e-05 2.0246262479e-05 7.2114707823e-05 1.5771135041e-06
4.6386718750e+01 1.0146103386e-04 2.2838012444e-05 7.6961682731e-05 1.6613386835e-06
4.6630859375e+01 1.0839208641e-04 2.5464819664e-05 8.1201571548e-05 1.7256951955e-06
4.6875000000e+01 1.1468130930e-04 2.8349439616e-05 8.4707469354e-05 1.6244003321e-06
4.7119140625e+01 1.2041260094e-04 3.1383495243e-05 8.7535424148e-05 1.4936815523e-06
4.7363281250e+01 1.2597679758e-04 3.4781251527e-05 8.9934125145e-05 1.2614209095e-06
4.7607421875e+01 1.3633309705e-04 4.0164014835e-05 9.5129047024e-05 1.0400351946e-06
4.7851562500e+01 1.5900271362e-04 5.0322977829e-05 1.0781204048e-04 8.6769530577e-07
4.8095703125e+01 2.0723686742e-04 7.0595025422e-05 1.3589071030e-04 7.5113168994e-07
4.8339843750e+01 2.6972150634e-04 9.5855232086e-05 1.7317839834e-04 6.8787591767e-07
4.8583984375e+01 3.1512526411e-04 1.1350955863e-04 2.0096381477e-04 6.5189071300e-07
4.8828125000e+01 3.4358936047e-04 1.2433531168e-04 2.1859272416e-04 6.6132463598e-07
4.9072265625e+01 3.7133284681e-04 1.3439095709e-04 2.3624274404e-04 6.9914567556e-07
4.9316406250e+01 3.9751681767e-04 1.4418392540e-04 2.5259661942e-04 7.3627284475e-07
