# freq_THz  G_total_s  G_B_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
3.1250000000e+01 8.1819917318e-03 3.4377701070e-04 1.1951769087e-03 6.6430378124e-03
3.1494140625e+01 5.5607723813e-03 2.6370011231e-04 8.5806797780e-04 4.4390042912e-03
3.1738281250e+01 3.9986966609e-03 2.1929320714e-04 6.4778482486e-04 3.1316186289e-03
3.1982421875e+01 3.1112792209e-03 1.9835695497e-04 5.2131089912e-04 2.3916113668e-03
3.2226562500e+01 2.5783531247e-03 1.9077975361e-04 4.4324884312e-04 1.9443245280e-03
3.2470703125e+01 2.2067518609e-03 1.9203407217e-04 3.8971155798e-04 1.6250062307e-03
3.2714843750e+01 1.9420633508e-03 2.0372643174e-04 3.5052626715e-04 1.3878106520e-03
3.2958984375e+01 1.7890700742e-03 2.3126854670e-04 3.2281618549e-04 1.2349853420e-03
3.3203125000e+01 1.7477034254e-03 2.8200728994e-04 3.0467813400e-04 1.1610180014e-03
3.3447265625e+01 1.8082679529e-03 3.6377778493e-04 2.9385106286e-04 1.1506391051e-03
3.3691406250e+01 1.9694440850e-03 4.8628023969e-04 2.8859231709e-04 1.1945715282e-03
3.3935546875e+01 2.2563623888e-03 6.6863663643e-04 2.8828739402e-04 1.2994383583e-03
3.4179687500e+01 2.7128523609e-03 9.3817540818e-04 2.9295351579e-04 1.4817234369e-03
3.4423828125e+01 3.3426467845e-03 1.3023121424e-03 3.0143545969e-04 1.7388991824e-03
3.4667968750e+01 4.0604933951e-03 1.7228849106e-03 3.1022506823e-04 2.0273834162e-03
3.4912109375e+01 4.7586626078e-03 2.1499225290e-03 3.1550800661e-04 2.2932320722e-03
3.5156250000e+01 5.4451784518e-03 2.5945698500e-03 3.1697473121e-04 2.5336338706e-03
3.5400390625e+01 6.2706625691e-03 3.1441916166e-03 3.1854112856e-04 2.8079298240e-03
3.5644531250e+01 7.4049085537e-03 3.8966520756e-03 3.2489777753e-04 3.1833587005e-03
3.5888671875e+01 8.9003046927e-03 4.8821835078e-03 3.3789595038e-04 3.6802252346e-03
3.6132812500e+01 1.0631904365e-02 6.0217203943e-03 3.5562512221e-04 4.2545588487e-03
3.6376953125e+01 1.2368276695e-02 7.1658183045e-03 3.7430593622e-04 4.8281524543e-03
3.6621093750e+01 1.3960389458e-02 8.2141053159e-03 3.9156828995e-04 5.3547158524e-03
3.6865234375e+01 1.5435966679e-02 9.1794375947e-03 4.0780592912e-04 5.8487231554e-03
3.7109375000e+01 1.6880976632e-02 1.0116748248e-02 4.2429466328e-04 6.3399337208e-03
3.7353515625e+01 1.8291137809e-02 1.1030187174e-02 4.4070399978e-04 6.8202466352e-03
3.7597656250e+01 1.9568789090e-02 1.1869947512e-02 4.5464629011e-04 7.2441952879e-03
3.7841796875e+01 2.0657395566e-02 1.2612370753e-02 4.6383168141e-04 7.5811931315e-03
3.8085937500e+01 2.1695884712e-02 1.3351848793e-02 4.6884779906e-04 7.8751881206e-03
3.8330078125e+01 2.3041606699e-02 1.4317288773e-02 4.7335178421e-04 8.2509661422e-03
3.8574218750e+01 2.5161617423e-02 1.5811864610e-02 4.8204520831e-04 8.8677076045e-03
3.8818359375e+01 2.8556271566e-02 1.8168371896e-02 4.9989499860e-04 9.8880046719e-03
3.9062500000e+01 3.3669485001e-02 2.1683813751e-02 5.3191165573e-04 1.1453759594e-02
3.9306640625e+01 4.0546771059e-02 2.6384984296e-02 5.7948916141e-04 1.3582297601e-02
3.9550781250e+01 4.8438863341e-02 3.1764540311e-02 6.3565597575e-04 1.6038667055e-02
