# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
6.2500000000e+01 2.3780933399e-06 7.3365725535e-07 1.6444360846e-06
6.2744140625e+01 2.3223591516e-06 7.1660532297e-07 1.6057538286e-06
6.2988281250e+01 2.2939309211e-06 7.0681305543e-07 1.5871178657e-06
6.3232421875e+01 2.2884118511e-06 7.0269873780e-07 1.5857131133e-06
6.3476562500e+01 2.3003898392e-06 7.0463679206e-07 1.5957530471e-06
6.3720703125e+01 2.3239374738e-06 7.1043773126e-07 1.6134997426e-06
6.3964843750e+01 2.3350902891e-06 7.1233604088e-07 1.6227542482e-06
6.4208984375e+01 2.3263840210e-06 7.0784977761e-07 1.6185342434e-06
6.4453125000e+01 2.2848854724e-06 6.9288826587e-07 1.5919972066e-06
6.4697265625e+01 2.2160274556e-06 6.6797500632e-07 1.5480524492e-06
6.4941406250e+01 2.1344740114e-06 6.3880373250e-07 1.4956702789e-06
6.5185546875e+01 2.0245991634e-06 6.0206881246e-07 1.4225303509e-06
6.5429687500e+01 1.8947150798e-06 5.6033649542e-07 1.3343785844e-06
6.5673828125e+01 1.7567035283e-06 5.1271092425e-07 1.2439926040e-06
6.5917968750e+01 1.6106720036e-06 4.6543564125e-07 1.1452363623e-06
6.6162109375e+01 1.4742995137e-06 4.2079541249e-07 1.0535041012e-06
6.6406250000e+01 1.3593359537e-06 3.8129552549e-07 9.7804042819e-07
6.6650390625e+01 1.2594172195e-06 3.4849215505e-07 9.1092506444e-07
6.6894531250e+01 1.1838680854e-06 3.2288144814e-07 8.6098663727e-07
6.7138671875e+01 1.1288233189e-06 3.0408654388e-07 8.2473677504e-07
6.7382812500e+01 1.0910166909e-06 2.9050905819e-07 8.0050763271e-07
6.7626953125e+01 1.0812545896e-06 2.8280627343e-07 7.9844831621e-07
6.7871093750e+01 1.0645760633e-06 2.7316158516e-07 7.9141447810e-07
6.8115234375e+01 1.0142368174e-06 2.5546268838e-07 7.5877412902e-07
6.8359375000e+01 9.0397925722e-07 2.2456694000e-07 6.7941231722e-07
6.8603515625e+01 7.4348809440e-07 1.8260927871e-07 5.6087881568e-07
6.8847656250e+01 5.5851109276e-07 1.3801368493e-07 4.2049740782e-07
6.9091796875e+01 3.9242715989e-07 9.9892239993e-08 2.9253491990e-07
6.9335937500e+01 2.6943018616e-07 7.2249281681e-08 1.9718090448e-07
6.9580078125e+01 1.9375673741e-07 5.5672241325e-08 1.3808449609e-07
6.9824218750e+01 1.5641037909e-07 4.8024659168e-08 1.0838571992e-07
7.0068359375e+01 1.4197358034e-07 4.5823138070e-08 9.6150442273e-08
7.0312500000e+01 1.3858337343e-07 4.6685018883e-08 9.1898354551e-08
7.0556640625e+01 1.4102950255e-07 4.9589136014e-08 9.1440366539e-08
7.0800781250e+01 1.4774309192e-07 5.3948204218e-08 9.3794887698e-08
7.1044921875e+01 1.5728048777e-07 5.9107367991e-08 9.8173119779e-08
7.1289062500e+01 1.6980756088e-07 6.5465574830e-08 1.0434198605e-07
7.1533203125e+01 1.8450404009e-07 7.2639071708e-08 1.1186496838e-07
7.1777343750e+01 2.0149633486e-07 8.0502735275e-08 1.2099359958e-07
7.2021484375e+01 2.1840202257e-07 8.8186193465e-08 1.3021582911e-07
7.2265625000e+01 2.3273783079e-07 9.4564283879e-08 1.3817354692e-07
