# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
4.1992187500e+01 7.0276594687e-04 1.7752280466e-04 5.2524314220e-04
4.2236328125e+01 5.2442269774e-04 1.3246147074e-04 3.9196122700e-04
4.2480468750e+01 3.5356704537e-04 8.9293490836e-05 2.6427355453e-04
4.2724609375e+01 2.2165538847e-04 5.6731964120e-05 1.6492342435e-04
4.2968750000e+01 1.4680940717e-04 3.8706070287e-05 1.0810333688e-04
4.3212890625e+01 1.1058236030e-04 2.9856450370e-05 8.0725909935e-05
4.3457031250e+01 8.8762848321e-05 2.3872711407e-05 6.4890136914e-05
4.3701171875e+01 7.8972223717e-05 2.0757615252e-05 5.8214608465e-05
4.3945312500e+01 7.2886402250e-05 1.8777757684e-05 5.4108644566e-05
4.4189453125e+01 7.1839268156e-05 1.8204278700e-05 5.3634989456e-05
4.4433593750e+01 7.5047843416e-05 1.8811952282e-05 5.6235891135e-05
4.4677734375e+01 7.9743663132e-05 1.9860626408e-05 5.9883036725e-05
4.4921875000e+01 8.5306241361e-05 2.1171377111e-05 6.4134864249e-05
4.5166015625e+01 9.1461476808e-05 2.2557642494e-05 6.8903834315e-05
4.5410156250e+01 9.5338377091e-05 2.3684938367e-05 7.1653438724e-05
4.5654296875e+01 9.7320002918e-05 2.4744862873e-05 7.2575140045e-05
4.5898437500e+01 1.0051864957e-04 2.6097342781e-05 7.4421306784e-05
4.6142578125e+01 1.0506399134e-04 2.7755302485e-05 7.7308688852e-05
4.6386718750e+01 1.1061262822e-04 2.9896668636e-05 8.0715959581e-05
4.6630859375e+01 1.1599406580e-04 3.2574451363e-05 8.3419614440e-05
4.6875000000e+01 1.2144406023e-04 3.5873358502e-05 8.5570701727e-05
4.7119140625e+01 1.2961893654e-04 4.0024614221e-05 8.9594322323e-05
4.7363281250e+01 1.3905730527e-04 4.4390141489e-05 9.4667163782e-05
4.7607421875e+01 1.5958015640e-04 5.2798030062e-05 1.0678212634e-04
4.7851562500e+01 1.9263429306e-04 6.6143533394e-05 1.2649075967e-04
4.8095703125e+01 2.3089200400e-04 8.1441547288e-05 1.4945045672e-04
4.8339843750e+01 2.7020901909e-04 9.6603989276e-05 1.7360502981e-04
4.8583984375e+01 3.0519298452e-04 1.1001737231e-04 1.9517561221e-04
4.8828125000e+01 3.3154593944e-04 1.1953139478e-04 2.1201454466e-04
4.9072265625e+01 3.4727233927e-04 1.2514091568e-04 2.2213142359e-04
4.9316406250e+01 3.6422628700e-04 1.3106639199e-04 2.3315989501e-04
4.9560546875e+01 3.8179175722e-04 1.3714751349e-04 2.4464424373e-04
4.9804687500e+01 3.7914744928e-04 1.3521299705e-04 2.4393445223e-04
5.0048828125e+01 3.5328763083e-04 1.2448387798e-04 2.2880375285e-04
