# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
1.1596679688e+01 2.5958532033e-01 1.3500196791e-01 1.2458335242e-01
1.1657714844e+01 2.5685389987e-01 1.3387635010e-01 1.2297754976e-01
1.1718750000e+01 2.5440731146e-01 1.3307101323e-01 1.2133629822e-01
1.1779785156e+01 2.5213606269e-01 1.3254040732e-01 1.1959565538e-01
1.1840820312e+01 2.4990271820e-01 1.3222392958e-01 1.1767878863e-01
1.1901855469e+01 2.4755014518e-01 1.3205044633e-01 1.1549969885e-01
1.1962890625e+01 2.4491718577e-01 1.3194631961e-01 1.1297086616e-01
1.2023925781e+01 2.4185453471e-01 1.3184246438e-01 1.1001207033e-01
1.2084960938e+01 2.3824083691e-01 1.3168287937e-01 1.0655795753e-01
1.2145996094e+01 2.3399722709e-01 1.3143016741e-01 1.0256705968e-01
1.2207031250e+01 2.2910053594e-01 1.3107070349e-01 9.8029832451e-02
1.2268066406e+01 2.2359072261e-01 1.3061829644e-01 9.2972426167e-02
1.2329101562e+01 2.1757308387e-01 1.3011455674e-01 8.7458527128e-02
1.2390136719e+01 2.1121467188e-01 1.2962802601e-01 8.1586645866e-02
1.2451171875e+01 2.0473579055e-01 1.2925086645e-01 7.5484924101e-02
1.2512207031e+01 1.9839563908e-01 1.2909416064e-01 6.9301478438e-02
1.2573242188e+01 1.9247013283e-01 1.2927927481e-01 6.3190858021e-02
1.2634277344e+01 1.8723831429e-01 1.2993400554e-01 5.7304308752e-02
1.2695312500e+01 1.8296058055e-01 1.3118294056e-01 5.1777639986e-02
1.2756347656e+01 1.7986264610e-01 1.3314171780e-01 4.6720928303e-02
1.2817382812e+01 1.7812339318e-01 1.3591061932e-01 4.2212773861e-02
1.2878417969e+01 1.7786522549e-01 1.3956736052e-01 3.8297864964e-02
1.2939453125e+01 1.7914947315e-01 1.4416183783e-01 3.4987635325e-02
1.3000488281e+01 1.8197268971e-01 1.4970980824e-01 3.2262881471e-02
1.3061523438e+01 1.8626866952e-01 1.5618770139e-01 3.0080968131e-02
1.3122558594e+01 1.9191118769e-01 1.6352855521e-01 2.8382632477e-02
1.3183593750e+01 1.9871476262e-01 1.7161719150e-01 2.7097571120e-02
1.3244628906e+01 2.0644101638e-01 1.8028883635e-01 2.6152180034e-02
1.3305664062e+01 2.1480456177e-01 1.8933025367e-01 2.5474308106e-02
1.3366699219e+01 2.2347914806e-01 1.9848306835e-01 2.4996079702e-02
1.3427734375e+01 2.3211098685e-01 2.0745371041e-01 2.4657276439e-02
1.3488769531e+01 2.4033064409e-01 2.1592525886e-01 2.4405385232e-02
1.3549804688e+01 2.4777245408e-01 2.2357580445e-01 2.4196649634e-02
1.3610839844e+01 2.5409175579e-01 2.3009671876e-01 2.3995037027e-02
1.3671875000e+01 2.5898484647e-01 2.3521304098e-01 2.3771805490e-02
1.3732910156e+01 2.6220893317e-01 2.3870370220e-01 2.3505230970e-02
1.3793945312e+01 2.6359589478e-01 2.4041680303e-01 2.3179091753e-02
1.3854980469e+01 2.6306367418e-01 2.4028082187e-01 2.2782852308e-02
1.3916015625e+01 2.6061864425e-01 2.3830761652e-01 2.2311027738e-02
1.3977050781e+01 2.5635132754e-01 2.3458899137e-01 2.1762336172e-02
1.4038085938e+01 2.5042488320e-01 2.2928552973e-01 2.1139353469e-02
1.4099121094e+01 2.4305651171e-01 2.2260865728e-01 2.0447854427e-02
1.4160156250e+01 2.3449420310e-01 2.1479909193e-01 1.9695111175e-02
1.4221191406e+01 2.2499448060e-01 2.0610469990e-01 1.8889780706e-02
1.4282226562e+01 2.1480112764e-01 1.9675976498e-01 1.8041362658e-02
1.4343261719e+01 2.0412669494e-01 1.8696766248e-01 1.7159032459e-02
1.4404296875e+01 1.9314171260e-01 1.7689045286e-01 1.6251259740e-02
1.4465332031e+01 1.8196907613e-01 1.6664368594e-01 1.5325390186e-02
1.4526367188e+01 1.7068791280e-01 1.5630011075e-01 1.4387802053e-02
1.4587402344e+01 1.5934297801e-01 1.4589877932e-01 1.3444198692e-02
1.4648437500e+01 1.4795716808e-01 1.3545730300e-01 1.2499865078e-02
1.4709472656e+01 1.3654836018e-01 1.2498796335e-01 1.1560396831e-02
1.4770507812e+01 1.2514292971e-01 1.1451094215e-01 1.0631987561e-02
1.4831542969e+01 1.1378558662e-01 1.0406406757e-01 9.7215190466e-03
1.4892578125e+01 1.0254679926e-01 9.3710021201e-02 8.8367780612e-03
1.4953613281e+01 9.1523285576e-02 8.3537105709e-02 7.9861798672e-03
1.5014648438e+01 8.0833603832e-02 7.3655166751e-02 7.1784370806e-03
1.5075683594e+01 7.0608624088e-02 6.4186682692e-02 6.4219413965e-03
1.5136718750e+01 6.0980173569e-02 5.5256028837e-02 5.7241447318e-03
