# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
1.3000488281e+01 1.6460998881e-01 1.3414177328e-01 3.0468215526e-02
1.3061523438e+01 1.6697717118e-01 1.3827461239e-01 2.8702558793e-02
1.3122558594e+01 1.7019978196e-01 1.4287719596e-01 2.7322586008e-02
1.3183593750e+01 1.7414172895e-01 1.4787566457e-01 2.6266064385e-02
1.3244628906e+01 1.7864857402e-01 1.5317727623e-01 2.5471297793e-02
1.3305664062e+01 1.8355013466e-01 1.5866997420e-01 2.4880160468e-02
1.3366699219e+01 1.8866241418e-01 1.6422305848e-01 2.4439355696e-02
1.3427734375e+01 1.9379569103e-01 1.6969258627e-01 2.4103104758e-02
1.3488769531e+01 1.9875804663e-01 1.7492600708e-01 2.3832039546e-02
1.3549804688e+01 2.0336196006e-01 1.7976838048e-01 2.3593579585e-02
1.3610839844e+01 2.0743327696e-01 1.8407148440e-01 2.3361792553e-02
1.3671875000e+01 2.1081791963e-01 1.8770215108e-01 2.3115768554e-02
1.3732910156e+01 2.1339092561e-01 1.9055105572e-01 2.2839869890e-02
1.3793945312e+01 2.1506104239e-01 1.9253843944e-01 2.2522602944e-02
1.3854980469e+01 2.1577326402e-01 1.9361683331e-01 2.2156430714e-02
1.3916015625e+01 2.1551089161e-01 1.9377308051e-01 2.1737811099e-02
1.3977050781e+01 2.1429083445e-01 1.9302524939e-01 2.1265585054e-02
1.4038085938e+01 2.1215750582e-01 1.9141701412e-01 2.0740491700e-02
1.4099121094e+01 2.0917678004e-01 1.8901070302e-01 2.0166077022e-02
1.4160156250e+01 2.0542590125e-01 1.8587956270e-01 1.9546338549e-02
1.4221191406e+01 2.0098698719e-01 1.8210045491e-01 1.8886532278e-02
1.4282226562e+01 1.9593997208e-01 1.7774741523e-01 1.8192556852e-02
1.4343261719e+01 1.9035818761e-01 1.7288762153e-01 1.7470566082e-02
1.4404296875e+01 1.8430581446e-01 1.6757906680e-01 1.6726747659e-02
1.4465332031e+01 1.7783840884e-01 1.6187107006e-01 1.5967338785e-02
1.4526367188e+01 1.7100407388e-01 1.5580557096e-01 1.5198502913e-02
1.4587402344e+01 1.6384625125e-01 1.4941992868e-01 1.4426322573e-02
1.4648437500e+01 1.5640579344e-01 1.4274915524e-01 1.3656638203e-02
1.4709472656e+01 1.4872458690e-01 1.3582945624e-01 1.2895130654e-02
1.4770507812e+01 1.4084719796e-01 1.2870001228e-01 1.2147185672e-02
1.4831542969e+01 1.3282151157e-01 1.2140379752e-01 1.1417714051e-02
1.4892578125e+01 1.2469838750e-01 1.1398739437e-01 1.0710993126e-02
1.4953613281e+01 1.1653148028e-01 1.0650089233e-01 1.0030587954e-02
1.5014648438e+01 1.0837557047e-01 9.8996312583e-02 9.3792578874e-03
1.5075683594e+01 1.0028452669e-01 9.1525696756e-02 8.7588299342e-03
1.5136718750e+01 9.2310479260e-02 8.4140263966e-02 8.1702152943e-03
1.5197753906e+01 8.4503084696e-02 7.6889496973e-02 7.6135877226e-03
1.5258789062e+01 7.6908943833e-02 6.9820459533e-02 7.0884843004e-03
1.5319824219e+01 6.9572028671e-02 6.2977982895e-02 6.5940457761e-03
1.5380859375e+01 6.2534248520e-02 5.6404974598e-02 6.1292739221e-03
1.5441894531e+01 5.5834807383e-02 5.0141630134e-02 5.6931772487e-03
1.5502929688e+01 4.9510154635e-02 4.4225102745e-02 5.2850518900e-03
1.5563964844e+01 4.3594056452e-02 3.8689473140e-02 4.9045833120e-03
1.5625000000e+01 3.8116663496e-02 3.3564766456e-02 4.5518970401e-03
1.5686035156e+01 3.3102521107e-02 2.8875036200e-02 4.2274849073e-03
1.5747070312e+01 2.8568229084e-02 2.4636196781e-02 3.9320323024e-03
1.5808105469e+01 2.4522161389e-02 2.0855777134e-02 3.6663842552e-03
1.5869140625e+01 2.0962709700e-02 1.7531353845e-02 3.4313558548e-03
1.5930175781e+01 1.7878512462e-02 1.4650909643e-02 3.2276028192e-03
1.5991210938e+01 1.5248303608e-02 1.2192909390e-02 3.0553942183e-03
1.6052246094e+01 1.3042435607e-02 1.0127848729e-02 2.9145868773e-03
1.6113281250e+01 1.1225070530e-02 8.4201119433e-03 2.8049585867e-03
1.6174316406e+01 9.7570931728e-03 7.0306479188e-03 2.7264452541e-03
1.6235351562e+01 8.5981303195e-03 5.9188455176e-03 2.6792848020e-03
1.6296386719e+01 7.7088114772e-03 5.0444532617e-03 2.6643582155e-03
1.6357421875e+01 7.0536792396e-03 4.3700869682e-03 2.6835922715e-03
1.6418457031e+01 6.6032288918e-03 3.8629651340e-03 2.7402637578e-03
1.6479492188e+01 6.3348307645e-03 3.4956370601e-03 2.8391937044e-03
1.6540527344e+01 6.2320219252e-03 3.2453003098e-03 2.9867216153e-03
1.6601562500e+01 6.2843514150e-03 3.0938523241e-03 3.1904990909e-03
1.6662597656e+01 6.4877672740e-03 3.0286942053e-03 3.4590730686e-03
1.6723632812e+01 6.8417815358e-03 3.0408238595e-03 3.8009576763e-03
1.6784667969e+01 7.3468349861e-03 3.1234256254e-03 4.2234093607e-03
1.6845703125e+01 8.0016381090e-03 3.2706804490e-03 4.7309576600e-03
1.6906738281e+01 8.8003856768e-03 3.4766077914e-03 5.3237778854e-03
1.6967773438e+01 9.7307479917e-03 3.7345567648e-03 5.9961912268e-03
1.7028808594e+01 1.0769973839e-02 4.0346267371e-03 6.7353471021e-03
1.7089843750e+01 1.1884138747e-02 4.3635007087e-03 7.5206380383e-03
1.7150878906e+01 1.3029280794e-02 4.7052141652e-03 8.3240666285e-03
1.7211914062e+01 1.4153044161e-02 5.0414234445e-03 9.1116207165e-03
1.7272949219e+01 1.5197756652e-02 5.3520501599e-03 9.8457064926e-03
1.7333984375e+01 1.6105058469e-02 5.6169588011e-03 1.0488099668e-02
1.7395019531e+01 1.6821389226e-02 5.8178680662e-03 1.1003521160e-02
1.7456054688e+01 1.7304888374e-02 5.9405020469e-03 1.1364386327e-02
1.7517089844e+01 1.7530506397e-02 5.9762766115e-03 1.1554229785e-02
1.7578125000e+01 1.7492926619e-02 5.9232977630e-03 1.1569628857e-02
1.7639160156e+01 1.7208060061e-02 5.7867760259e-03 1.1421284035e-02
1.7700195312e+01 1.6713160529e-02 5.5789351216e-03 1.1134225408e-02
1.7761230469e+01 1.6065557417e-02 5.3185160919e-03 1.0747041326e-02
1.7822265625e+01 1.5337883088e-02 5.0291309257e-03 1.0308752162e-02
1.7883300781e+01 1.4613029038e-02 4.7375092965e-03 9.8755197420e-03
1.7944335938e+01 1.3978865395e-02 4.4716667830e-03 9.5071986115e-03
1.8005371094e+01 1.3522985585e-02 4.2591185044e-03 9.2638670810e-03
1.8066406250e+01 1.3327888264e-02 4.1252717208e-03 9.2026165434e-03
1.8127441406e+01 1.3467022341e-02 4.0920648146e-03 9.3749575268e-03
1.8188476562e+01 1.4000867290e-02 4.1768130887e-03 9.8240542015e-03
1.8249511719e+01 1.4972853898e-02 4.3911977524e-03 1.0581656146e-02
